"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2015","2015",37685,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2016","2016",37651,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2017","2017",37963,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2018","2018",38252,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2019","2019",39207,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2020","2020",39694,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2021","2021",40471,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2022","2022",40957,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2010","2010",31753,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",32284,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",32990,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",34204,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",34910,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",35747,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",35593,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",35774,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",35970,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",36710,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2020","2020",37099,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2021","2021",37709,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2022","2022",38023,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",1289,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",1372,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",1501,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",1638,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",1862,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",1938,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",2058,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",2189,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",2282,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",2497,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2020","2020",2595,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2021","2021",2762,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2022","2022",2934,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2010","2010",3.9,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2011","2011",4.08,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2012","2012",4.35,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2013","2013",4.57,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2014","2014",5.06,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2015","2015",5.14,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2016","2016",5.47,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2017","2017",5.77,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2018","2018",5.97,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2019","2019",6.37,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2020","2020",6.54,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2021","2021",6.82,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2022","2022",7.16,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",191,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",179,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",196,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2013","2013",224,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",263,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",242,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",225,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",238,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",209,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",257,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2020","2020",224,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2021","2021",207,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2022","2022",253,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",900,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",992,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2015","2015",983,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2016","2016",839,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2017","2017",655,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2018","2018",624,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2019","2019",661,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2020","2020",615,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2021","2021",616,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2010","2010",53418,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2011","2011",54851,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2012","2012",56363,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2013","2013",57623,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2014","2014",59070,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2015","2015",60138,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2016","2016",61899,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2017","2017",63615,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2018","2018",66561,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2019","2019",68724,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2020","2020",70452,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2021","2021",72657,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2022","2022",74518,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2010","2010",49038,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",49818,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",50655,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",51439,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",52338,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",53249,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",54529,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",55814,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",58499,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",60191,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2020","2020",61506,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2021","2021",63049,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2022","2022",64447,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",4380,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",5033,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",5708,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",6184,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",6732,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",6889,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",7370,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",7801,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",8062,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",8533,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2020","2020",8946,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2021","2021",9608,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2022","2022",10071,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2010","2010",8.2,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2011","2011",9.18,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2012","2012",10.13,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2013","2013",10.73,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2014","2014",11.4,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2015","2015",11.46,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2016","2016",11.91,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2017","2017",12.26,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2018","2018",12.11,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2019","2019",12.42,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2020","2020",12.7,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2021","2021",13.22,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2022","2022",13.51,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",504,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",665,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",684,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2013","2013",481,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",558,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",566,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",500,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",598,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",461,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",553,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2020","2020",483,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2021","2021",610,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2022","2022",516,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2010","2010",165559,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2011","2011",170062,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2012","2012",175117,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2013","2013",180592,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2014","2014",186278,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2015","2015",191805,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2016","2016",198030,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2017","2017",204256,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2018","2018",210506,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2019","2019",214317,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2020","2020",218664,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2021","2021",223645,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2022","2022",228253,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2010","2010",163140,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2011","2011",167219,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2012","2012",171392,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2013","2013",175963,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2014","2014",180867,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2015","2015",185677,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2016","2016",191278,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2017","2017",197041,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2018","2018",202617,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2019","2019",205897,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2020","2020",209674,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2021","2021",214119,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2022","2022",218300,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2010","2010",2419,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2011","2011",2843,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2012","2012",3725,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2013","2013",4629,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2014","2014",5411,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2015","2015",6128,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2016","2016",6752,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2017","2017",7215,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2018","2018",7889,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2019","2019",8420,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2020","2020",8990,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2021","2021",9526,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2022","2022",9953,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2010","2010",1.46,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2011","2011",1.67,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2012","2012",2.13,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2013","2013",2.56,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2014","2014",2.9,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2015","2015",3.19,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2016","2016",3.41,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2017","2017",3.53,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2018","2018",3.75,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2019","2019",3.93,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2020","2020",4.11,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2021","2021",4.26,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2022","2022",4.36,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2010","2010",361,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2011","2011",425,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2012","2012",886,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",890,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",783,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2015","2015",726,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2016","2016",590,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2017","2017",464,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2018","2018",622,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2019","2019",509,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2020","2020",567,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2021","2021",532,,
